IDX,LID,CI_1,CI_2,Lon,Lat,Time,Measure,[Call Test] [Misc] [Mobile] IMEI,[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[Call Test] [Voice or Video Call] Orig/Term,[Call Test] [VoNR VoLTE] [Duration] SIP Setup Duration (Invite~200OK),[Call Test] [Voice or Video Call] Result & Reason,[Call Test] [Throughput] Application DL TP,[General] Serving Network (In Traffic),[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [KR PS-LTE] [SMS] [Timestamp] SIP Message,[Packet Data] [SIP] UL/DL,[Packet Data] [SIP] Request Method,[Packet Data] [SIP] Status,[Packet Data] [SIP] 200 OK - Method,[Call Test] [Voice or Video Call] Real Service,[Call Test] Call Type,[Call Test] Call Result,[Event] Total Call Result,[Event] Voice Call Event,[Event] [Event Occurrence Count] Call Completed #,[Event] [Event Occurrence Count] Outgoing Call Setup Fail #,[Event] [Event Occurrence Count] Call Dropped #,[Event] [Event Occurrence Count] Call Start #,[Call Test] [Voice or Video Call] [Duration] Traffic Duration (LoggingTool)
69,1,,,-121.9331898,47.5260679,2025-12-11 22:55:27.000,_20251211_145431_CH03_TMO_5GNR_HW-MO_DUT_TC162-1.dml,,594,-106.050000,,,,,,,NR SA,,,,,,,,,,,,,,,,
70,1,,,-121.9331898,47.5260679,2025-12-11 22:55:28.000,_20251211_145431_CH03_TMO_5GNR_HW-MO_DUT_TC162-1.dml,,594,-103.940000,,,,,,,NR SA,,,,,,,,,,,,,,,,
71,1,,,-121.9331898,47.5260679,2025-12-11 22:55:29.000,_20251211_145431_CH03_TMO_5GNR_HW-MO_DUT_TC162-1.dml,,594,-102.660000,,,,,,,NR SA,,,,,,,,,,,,,,,,
72,1,,,-121.9331898,47.5260679,2025-12-11 22:55:30.000,_20251211_145431_CH03_TMO_5GNR_HW-MO_DUT_TC162-1.dml,,594,-100.850000,,,,,,,NR SA,,,,,,,,,,,,,,,,
73,1,,,-121.9331898,47.5260679,2025-12-11 22:55:31.000,_20251211_145431_CH03_TMO_5GNR_HW-MO_DUT_TC162-1.dml,,594,-99.470000,,,,,,,NR SA,,,,,,,,,,,,,,,,
74,1,,,-121.9331898,47.5260679,2025-12-11 22:55:32.000,_20251211_145431_CH03_TMO_5GNR_HW-MO_DUT_TC162-1.dml,,594,-102.150000,,,,,,,NR SA,,,,,,,,,,,,,,,,
75,1,,,-121.9331898,47.5260679,2025-12-11 22:55:33.000,_20251211_145431_CH03_TMO_5GNR_HW-MO_DUT_TC162-1.dml,,594,-101.750000,,,,,,,NR SA,,,,,,,,,,,,,,,,
76,1,,,-121.9331898,47.5260679,2025-12-11 22:55:34.000,_20251211_145431_CH03_TMO_5GNR_HW-MO_DUT_TC162-1.dml,,594,-101.490000,,,,,,,NR SA,,,,,,,,,,,,,,,,
77,1,,,-121.9331898,47.5260679,2025-12-11 22:55:35.000,_20251211_145431_CH03_TMO_5GNR_HW-MO_DUT_TC162-1.dml,,594,-103.460000,,,,,,,NR SA,,,,,,,,,,,,,,,,
78,1,,,-121.9331898,47.5260679,2025-12-11 22:55:36.000,_20251211_145431_CH03_TMO_5GNR_HW-MO_DUT_TC162-1.dml,,594,-102.000000,,,,,,,NR SA,,,,,,,,,,,,,,,,
