IDX,LID,CI_1,CI_2,Lon,Lat,Time,Measure,[General] Serving Network (In Traffic),[LTE] [L1] [RF] RSRP,[LTE] [L1] [RF] PCI,[Call Test] [Voice Quality] [Per Rx Clip] [RF Quality] 5G RSRP,[Call Test] [Voice Quality] [Per Rx Clip] [RF Quality] 5G SINR,[NR5G] [System] Band,[NR5G] [RF] PCI,[Call Test] [Voice Quality] [UL MOS] MOS,[Call Test] [Voice Quality] [Per Rx Clip] MOS Value,[Call Test] [Voice Quality] [Per Rx Clip] Mouth to Ear Delay (Avg)
56,1,,,-121.9331898,47.5260679,2025-12-11 23:08:02.000,_20251211_150704_CH03_TMO_5GNR_HW-MO_DUT_TC165-1.dml,NR SA,,,,,25,594,,,
57,1,,,-121.9331898,47.5260679,2025-12-11 23:08:03.000,_20251211_150704_CH03_TMO_5GNR_HW-MO_DUT_TC165-1.dml,NR SA,,,,,25,594,,,
58,1,,,-121.9331898,47.5260679,2025-12-11 23:08:04.000,_20251211_150704_CH03_TMO_5GNR_HW-MO_DUT_TC165-1.dml,NR SA,,,,,25,594,,,
59,1,,,-121.9331898,47.5260679,2025-12-11 23:08:05.000,_20251211_150704_CH03_TMO_5GNR_HW-MO_DUT_TC165-1.dml,NR SA,,,,,25,594,,,
60,1,,,-121.9331898,47.5260679,2025-12-11 23:08:06.000,_20251211_150704_CH03_TMO_5GNR_HW-MO_DUT_TC165-1.dml,NR SA,,,,,25,594,,,
61,1,,,-121.9331898,47.5260679,2025-12-11 23:08:07.000,_20251211_150704_CH03_TMO_5GNR_HW-MO_DUT_TC165-1.dml,NR SA,,,,,25,594,,,
62,1,,,-121.9331898,47.5260679,2025-12-11 23:08:08.000,_20251211_150704_CH03_TMO_5GNR_HW-MO_DUT_TC165-1.dml,NR SA,,,,,25,594,,,
63,1,,,-121.9331898,47.5260679,2025-12-11 23:08:09.000,_20251211_150704_CH03_TMO_5GNR_HW-MO_DUT_TC165-1.dml,NR SA,,,,,25,594,,,
64,1,,,-121.9331898,47.5260679,2025-12-11 23:08:10.000,_20251211_150704_CH03_TMO_5GNR_HW-MO_DUT_TC165-1.dml,NR SA,,,,,25,594,,,
65,1,,,-121.9331898,47.5260679,2025-12-11 23:08:11.000,_20251211_150704_CH03_TMO_5GNR_HW-MO_DUT_TC165-1.dml,NR SA,,,,,25,594,,,
66,1,,,-121.9331898,47.5260679,2025-12-11 23:08:12.000,_20251211_150704_CH03_TMO_5GNR_HW-MO_DUT_TC165-1.dml,NR SA,,,,,25,594,,,
67,1,,,-121.9331898,47.5260679,2025-12-11 23:08:13.000,_20251211_150704_CH03_TMO_5GNR_HW-MO_DUT_TC165-1.dml,NR SA,,,,,25,594,,,
68,1,,,-121.9331898,47.5260679,2025-12-11 23:08:14.000,_20251211_150704_CH03_TMO_5GNR_HW-MO_DUT_TC165-1.dml,NR SA,,,,,25,594,,,
69,1,,,-121.9331898,47.5260679,2025-12-11 23:08:15.000,_20251211_150704_CH03_TMO_5GNR_HW-MO_DUT_TC165-1.dml,NR SA,,,,,25,594,,,
70,1,,,-121.9331898,47.5260679,2025-12-11 23:08:16.000,_20251211_150704_CH03_TMO_5GNR_HW-MO_DUT_TC165-1.dml,NR SA,,,,,25,594,,,
71,1,,,-121.9331898,47.5260679,2025-12-11 23:08:17.000,_20251211_150704_CH03_TMO_5GNR_HW-MO_DUT_TC165-1.dml,NR SA,,,,,25,594,,,
72,1,,,-121.9331898,47.5260679,2025-12-11 23:08:18.000,_20251211_150704_CH03_TMO_5GNR_HW-MO_DUT_TC165-1.dml,NR SA,,,,,25,594,,,
73,1,,,-121.9331898,47.5260679,2025-12-11 23:08:19.000,_20251211_150704_CH03_TMO_5GNR_HW-MO_DUT_TC165-1.dml,NR SA,,,,,25,594,,,
74,1,,,-121.9331898,47.5260679,2025-12-11 23:08:20.000,_20251211_150704_CH03_TMO_5GNR_HW-MO_DUT_TC165-1.dml,NR SA,,,,,25,594,,,
75,1,,,-121.9331898,47.5260679,2025-12-11 23:08:21.000,_20251211_150704_CH03_TMO_5GNR_HW-MO_DUT_TC165-1.dml,NR SA,,,,,25,594,,,
76,1,,,-121.9331898,47.5260679,2025-12-11 23:08:22.000,_20251211_150704_CH03_TMO_5GNR_HW-MO_DUT_TC165-1.dml,NR SA,,,,,25,594,,,
77,1,,,-121.9331898,47.5260679,2025-12-11 23:08:23.000,_20251211_150704_CH03_TMO_5GNR_HW-MO_DUT_TC165-1.dml,NR SA,,,,,25,594,,,
78,1,,,-121.9331898,47.5260679,2025-12-11 23:08:24.000,_20251211_150704_CH03_TMO_5GNR_HW-MO_DUT_TC165-1.dml,NR SA,,,,,25,594,,,
79,1,,,-121.9331898,47.5260679,2025-12-11 23:08:25.000,_20251211_150704_CH03_TMO_5GNR_HW-MO_DUT_TC165-1.dml,NR SA,,,,,25,594,,,
80,1,,,-121.9331898,47.5260679,2025-12-11 23:08:26.000,_20251211_150704_CH03_TMO_5GNR_HW-MO_DUT_TC165-1.dml,NR SA,,,,,25,594,,,
81,1,,,-121.9331898,47.5260679,2025-12-11 23:08:27.000,_20251211_150704_CH03_TMO_5GNR_HW-MO_DUT_TC165-1.dml,NR SA,,,,,25,594,,,
82,1,,,-121.9331898,47.5260679,2025-12-11 23:08:28.000,_20251211_150704_CH03_TMO_5GNR_HW-MO_DUT_TC165-1.dml,NR SA,,,,,25,594,,,
83,1,,,-121.9331898,47.5260679,2025-12-11 23:08:29.000,_20251211_150704_CH03_TMO_5GNR_HW-MO_DUT_TC165-1.dml,NR SA,,,,,25,594,,,
84,1,,,-121.9331898,47.5260679,2025-12-11 23:08:30.000,_20251211_150704_CH03_TMO_5GNR_HW-MO_DUT_TC165-1.dml,NR SA,,,,,25,594,,,
