[Call Test] [Misc] [Mobile] IMEI,[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[Call Test] [Voice or Video Call] Orig/Term,[Call Test] [VoNR VoLTE] [Duration] SIP Setup Duration (Invite~200OK),[Call Test] [Voice or Video Call] Result & Reason,[Call Test] [Throughput] Application DL TP,[General] Serving Network (In Traffic),[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [KR PS-LTE] [SMS] [Timestamp] SIP Message,[Packet Data] [SIP] UL/DL,[Packet Data] [SIP] Request Method,[Packet Data] [SIP] Status,[Packet Data] [SIP] 200 OK - Method,[Call Test] [Voice or Video Call] Real Service,[Call Test] Call Type,[Call Test] Call Result,[Event] Total Call Result,[Event] Voice Call Event,[Event] [Event Occurrence Count] Call Completed #,[Event] [Event Occurrence Count] Outgoing Call Setup Fail #,[Event] [Event Occurrence Count] Call Dropped #,[Event] [Event Occurrence Count] Call Start #,[Call Test] [Voice or Video Call] [Duration] Traffic Duration (LoggingTool)
,,,,,,,,,,,,,,,,,,,,,,,,,
,209,-83.570000,,,,,,,,,,,,,,,,,,,,,,,
,209,-84.310000,,,,,,,,,,,,,,,,,,,,,,,
,209,-84.700000,,,,,,,,,,,,,,,,,,,,,,,
,209,-82.580000,,,,,,,,,,,,,,,,,,,,,,,
,209,-82.750000,,,,,,,,,,,,,,,,,,,,,,,
,209,-84.740000,,,,,,,,,,,,,,,,,,,,,,,
,209,-83.350000,,,,,,,,,,,,,,,,,,,,,,,
,209,-84.560000,,,,,,,,,,,,,,,,,,,,,,,
,209,-95.680000,,,,,,,,,,,,,,,,,,,,,,,
,209,-84.840000,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,[Tool] Voice - Call Scheduling Start(Orig),,,,,
,,,,,,,,,,,,,,,,,,,,[UE]   Voice - Orig Success,,,,,
,,,,,,,,,,,,,,,,,,,,[Tool] Voice - Orig Request,,,,,
,209,-85.380000,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,UL,INVITE,,,,,,,,,,,,
,209,-87.830000,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,DL,,200 OK,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,[UE]   Voice - Setup Success,,,,,
,,,432,-71.330000,,,,0.032,LTE 3CA,,,,,,,,,,,,,,,,
,,,432,-70.330000,,,,0.481,LTE 3CA,,,,,,,,,,,,,,,,
,,,432,-70.330000,,,,9.630,LTE 3CA,,,,,,,,,,,,,,,,
,,,432,-70.330000,,,,24.518,LTE 3CA,,,,,,,,,,,,,,,,
,,,432,-71.670000,,,,30.236,LTE 3CA,,,,,,,,,,,,,,,,
,,,432,-70.670000,,,,27.291,LTE 3CA,,,,,,,,,,,,,,,,
,,,432,-70.000000,,,,30.128,LTE 2CA,,,,,,,,,,,,,,,,
,,,432,-70.000000,,,,34.434,LTE 2CA,,,,,,,,,,,,,,,,
,,,432,-70.000000,,,,31.198,LTE 2CA,,,,,,,,,,,,,,,,
,,,432,-70.670000,,,,30.909,LTE 2CA,,,,,,,,,,,,,,,,
,,,432,-70.670000,,,,33.988,LTE 2CA,,,,,,,,,,,,,,,,
,,,432,-70.670000,,,,29.403,LTE 2CA,,,,,,,,,,,,,,,,
,,,432,-70.500000,,,,29.884,LTE 2CA,,,,,,,,,,,,,,,,
,,,432,-70.000000,,,,31.113,LTE 2CA,,,,,,,,,,,,,,,,
,,,432,-70.330000,,,,30.354,LTE 2CA,,,,,,,,,,,,,,,,
,,,432,-70.830000,,,,28.184,LTE 2CA,,,,,,,,,,,,,,,,
,,,432,-70.330000,,,,30.029,LTE 2CA,,,,,,,,,,,,,,,,
,,,432,-70.830000,,,,27.604,LTE 2CA,,,,,,,,,,,,,,,,
,,,432,-71.330000,,,,31.305,LTE 2CA,,,,,,,,,,,,,,,,
,,,432,-70.330000,,,,28.451,LTE 2CA,,,,,,,,,,,,,,,,
,,,432,-70.670000,,,,29.830,LTE 2CA,,,,,,,,,,,,,,,,
,,,432,-70.330000,,,,29.734,LTE 2CA,,,,,,,,,,,,,,,,
,,,432,-70.670000,,,,19.666,LTE 2CA,,,,,,,,,,,,,,,,
,,,432,-70.500000,,,,40.499,LTE 2CA,,,,,,,,,,,,,,,,
,,,432,-70.000000,,,,33.861,LTE 2CA,,,,,,,,,,,,,,,,
,,,432,-70.500000,,,,33.956,LTE 2CA,,,,,,,,,,,,,,,,
,,,432,-70.170000,,,,35.609,LTE 2CA,,,,,,,,,,,,,,,,
,,,432,-70.000000,,,,26.121,LTE 2CA,,,,,,,,,,,,,,,,
,,,432,-70.330000,,,,37.590,LTE 2CA,,,,,,,,,,,,,,,,
,,,432,-71.670000,,,,29.486,LTE 2CA,,,,,,,,,,,,,,,,
,,,432,-70.830000,,,,25.594,LTE 2CA,,,,,,,,,,,,,,,,
,,,432,-74.000000,,,,25.021,LTE 2CA,,,,,,,,,,,,,,,,
,,,432,-74.000000,,,,24.757,LTE 2CA,,,,,,,,,,,,,,,,
,,,432,-70.500000,,,,32.470,LTE 2CA,,,,,,,,,,,,,,,,
,,,432,-70.500000,,,,29.074,LTE 2CA,,,,,,,,,,,,,,,,
,,,432,-70.500000,,,,25.420,LTE 2CA,,,,,,,,,,,,,,,,
,,,432,-70.330000,,,,26.186,LTE 2CA,,,,,,,,,,,,,,,,
