[General] Serving Network,[Packet Data] [SIP] Request Method,[Packet Data] [SIP] Status,[Packet Data] [SIP] 200 OK - Method,[Call Test] [Throughput] Application DL TP,[Call Test] [Throughput] Application UL TP
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,3.632,
NR SA,,,,3.706,
NR SA,,,,5.101,
NR SA,,,,5.549,
NR SA,,,,6.139,
NR SA,,,,6.519,
NR SA,,,,5.221,
NR SA,,,,4.092,
NR SA,,,,5.118,
NR SA,,,,6.034,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
,INVITE,,,,
,,100 Trying,,,
NR SA,,,,,
,,180 Ringing,,,
,,200 OK,INVITE,,
NR SA,,,,,
,ACK,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,2.857,
NR SA,,,,3.066,
NR SA,,,,3.295,
NR SA,,,,4.092,
NR SA,,,,4.430,
NR SA,,,,3.492,
NR SA,,,,4.426,
NR SA,,,,3.179,
NR SA,,,,3.197,
NR SA,,,,4.317,
NR SA,,,,2.032,
NR SA,,,,0.065,
NR SA,,,,6.973,
NR SA,,,,2.466,
NR SA,,,,3.339,
NR SA,,,,1.309,
NR SA,,,,2.030,
NR SA,,,,2.641,
NR SA,,,,1.986,
NR SA,,,,2.783,
NR SA,,,,1.004,
NR SA,,,,4.288,
NR SA,,,,3.077,
NR SA,,,,2.793,
NR SA,,,,0.557,
,BYE,,,,
,,200 OK,BYE,,
NR SA,,,,2.870,
NR SA,,,,2.390,
NR SA,,,,1.853,
NR SA,,,,4.310,
NR SA,,,,5.483,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,1.655,
NR SA,,,,4.424,
NR SA,,,,5.030,
NR SA,,,,3.652,
NR SA,,,,4.435,
NR SA,,,,3.776,
NR SA,,,,4.168,
NR SA,,,,5.347,
NR SA,,,,4.480,
NR SA,,,,4.391,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,2.628,
NR SA,,,,3.765,
NR SA,,,,3.023,
NR SA,,,,2.532,
NR SA,,,,3.208,
NR SA,,,,4.016,
NR SA,,,,3.554,
NR SA,,,,3.670,
NR SA,,,,3.186,
NR SA,,,,2.804,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
,INVITE,,,,
NR SA,,,,,
,,100 Trying,,,
NR SA,,,,,
,,180 Ringing,,,
,,180 Ringing,,,
,,180 Ringing,,,
,,200 OK,INVITE,,
,ACK,,,,
,ACK,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,2.475,
NR SA,,,,2.575,
NR SA,,,,3.295,
NR SA,,,,3.252,
NR SA,,,,3.154,
NR SA,,,,2.030,
NR SA,,,,2.892,
NR SA,,,,3.031,
NR SA,,,,2.338,
NR SA,,,,2.324,
NR SA,,,,3.405,
NR SA,,,,4.769,
NR SA,,,,4.114,
NR SA,,,,4.638,
NR SA,,,,2.553,
NR SA,,,,0.349,
NR SA,,,,3.666,
