[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[LTE] [L1] [RF] RS SINR,[General] Band Classification,[General] Serving Network (In Traffic),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [iPerf] [Throughput] DL Jitter,[Call Test] [iPerf] [Throughput] DL Error Ratio,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Jitter,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Error Ratio,[Event] [Data call test detail events] FTP Call Event,[Event] [Data call test detail events] HTTP Call Event,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [Throughput] Application DL TP,[Call Test] [Throughput] Application UL TP,[Event] [Data call test detail events] IPERF Call Event,[Call Test] [iPerf] [Call Average] [Throughput] [Excluding SlowStart] UL Avg TP,[Call Test] [iPerf] [Throughput] DL TP (excl. slow start),[Event] [Data call test detail events] Ping Call Event,[Call Test] [HTTP] Total duration,[Call Test] [PING] Loss Count,[Call Test] [PING] [RTT] RTT
,,,N41(100),,266,-90.800000,13.770000,,,,,,,,,,,,,,,,
,,,N41(100),,266,-91.850000,14.130000,,,,,,,,,,,,,,,,
,,,N41(100),,266,-92.040000,16.150000,,,,,,,,,,,,,,,,
,,,N41(100),,266,-92.300000,16.870000,,,,,,,,,,,,,,,,
,,,N41(100),,266,-92.690000,14.430000,,,,,,,,,,,,,,,,
,,,N41(100),,266,-92.540000,14.040000,,,,,,,,,,,,,,,,
,,,N41(100),,266,-93.080000,14.300000,,,,,,,,,,,,,,,,
,,,N41(100),,266,-94.020000,14.010000,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,N41(100),,266,-92.990000,17.420000,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,N41(100),,266,-92.200000,14.860000,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,N41(100),,266,-92.700000,14.430000,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,N41(100),,266,-92.770000,13.270000,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,N41(100),,266,-92.540000,13.240000,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,N41(100),,266,-93.350000,14.100000,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,N41(100),,266,-93.790000,16.060000,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,N41(100),,266,-93.620000,17.480000,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,N41(100),,266,-92.460000,16.500000,,,,,,,,,,,,,,,,
,,,N41(100),,266,-91.780000,14.810000,,,,,,,,,,,,,,,,
,,,N41(100),,266,-92.060000,14.420000,,,,,,,,,,,,,,,,
,,,N41(100),,266,-92.680000,14.070000,,,,,,,,,,,,,,,,
,,,N41(100),,266,-92.820000,13.420000,,,,,,,,,,,,,,,,
,,,N41(100),,266,-91.980000,13.670000,,,,,,,,,,,,,,,,
,,,N41(100)+N41(40),,266,-92.010000,15.160000,,,,,,,,,,,,,,,,
,,,N41(100)+N41(40),,266,-91.560000,14.470000,,,,,,,,,,,,,,,,
,,,N41(100)+N41(40),,266,-91.540000,12.700000,,,,,,,,,,,,,,,,
,,,N41(100)+N41(40),,266,-91.870000,13.140000,,,,,,,,,,,,,,,,
,,,N41(100)+N41(40),,266,-92.340000,12.860000,,,,,,,,,,,,,,,,
,,,N41(100)+N41(40),,266,-91.900000,12.940000,,,,,,,,,,,,,,,,
,,,N41(100)+N41(40),,266,-91.960000,12.530000,,,,,,,,,,,,,,,,
,,,N41(100)+N41(40),,266,-91.820000,13.230000,,,,,,,,,,,,,,,,
,,,N41(100)+N41(40),,266,-91.920000,12.590000,,,,,,,,,,,,,,,,
,,,N41(100)+N41(40),,266,-91.750000,12.110000,,,,,,,,,,,,,,,,
,,,N41(100)+N41(40),,266,-92.260000,11.890000,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,N41(100),,266,-94.020000,12.440000,,,,,,,,,,,,,,,,
,,,N41(100),,266,-93.660000,12.830000,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,N41(100),,266,-93.470000,13.090000,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,N41(100),,266,-92.970000,13.060000,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,N41(100),,266,-92.200000,11.450000,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Download Start Request,,,,,,,,,
,,,N41(100),NR SA,266,-91.950000,13.070000,,,,,,,,,,,,,,,,
