Device,MO DUT,MT DUT,MO REF,MT REF
367,-74.0,-69.0,-67.0,-69.0
368,-73.0,-70.0,-68.0,-69.0
369,-73.0,-70.0,-68.0,-68.0
370,-73.5,-70.0,-70.0,-68.0
371,-74.0,-70.0,-70.0,-68.0
372,-74.0,-70.0,-69.0,-69.0
373,-74.0,-70.0,-69.0,-69.0
374,-74.0,-70.0,-68.0,-69.0
375,-74.0,-70.0,-68.5,-68.0
376,-74.0,-69.0,-69.0,-68.0
377,-74.0,-69.0,-69.0,-68.0
378,-74.0,-69.0,-69.0,-70.0
379,-74.0,-69.0,-69.0,-70.0
380,-74.0,-69.0,-69.0,-70.0
381,-74.0,-69.0,-69.0,-70.0
382,-73.0,-69.0,-69.0,-70.0
383,-73.0,-69.0,-69.0,-70.0
384,-73.0,-69.0,-69.0,-68.0
385,-73.0,-69.0,-69.0,-68.0
386,-73.0,-69.0,-69.0,-68.0
387,-73.0,-69.0,-70.0,-68.0
388,-73.0,-69.0,-71.0,-68.0
389,-73.0,-69.0,-71.0,-68.0
390,-74.0,-69.0,-71.0,-69.0
391,-74.0,-69.0,-71.5,-69.0
392,-74.0,-69.0,-72.0,-69.0
393,-74.0,-69.0,-72.0,-66.0
394,-74.0,-69.0,-72.0,-66.0
395,-74.0,-69.0,-72.0,-66.0
396,-74.0,-69.0,-72.0,-66.0
397,-74.0,-69.0,-72.0,-66.0
398,-74.0,-69.0,-72.0,-66.0
399,-74.0,-69.0,-71.0,-66.0
400,-74.0,-69.0,-71.0,-66.0
401,-74.0,-69.0,-71.0,-66.0
402,-74.0,-69.0,-70.5,-67.0
403,-74.0,-69.0,-70.0,-67.0
404,-74.0,-69.0,-70.5,-67.0
405,-74.0,-69.0,-71.0,-66.0
406,-74.0,-69.0,-69.5,-66.0
407,-74.0,-69.0,-68.0,-66.0
408,-73.0,-69.0,-69.0,-65.0
409,-73.0,-69.0,-69.0,-65.0
410,-73.0,-69.0,-68.0,-65.0
411,-73.0,-69.0,-68.0,-65.0
412,-73.0,-69.0,-67.0,-65.0
413,-73.0,-69.0,-67.0,-65.0
414,-74.0,-69.0,-67.0,-66.0
415,-74.0,-69.0,-67.0,-66.0
416,-74.0,-69.0,-67.0,-66.0
417,-73.0,-69.0,-67.0,-67.0
418,-73.0,-69.0,-67.0,-67.0
419,-73.0,-69.0,-67.0,-67.0
420,-74.0,-69.0,-67.0,-67.0
421,-74.0,-69.0,-67.0,-67.0
422,-74.0,-69.0,-67.0,-67.0
423,-73.0,-69.0,-67.0,-64.0
424,-73.0,-69.0,-67.0,-64.0
