[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[LTE] [L1] [RF] RS SINR,[General] Band Classification,[General] Serving Network (In Traffic),[NR5G] [System] Num of CC (Data),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [iPerf] [Throughput] DL Jitter,[Call Test] [iPerf] [Throughput] DL Error Ratio,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Jitter,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Error Ratio,[Event] [Data call test detail events] FTP Call Event,[Event] [Data call test detail events] HTTP Call Event,[Event] [Data call test detail events] Ping Call Event,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [Throughput] Application DL TP,[Call Test] [Throughput] Application UL TP,[Event] [Data call test detail events] IPERF Call Event,[LTE] [Data Throughput] [Downlink (All)] [PDSCH] PDSCH TP (Total),[LTE] [Data Throughput] [Uplink (All)] [PUSCH] PUSCH TP (Total)
,,,N41(100),,1,902,-73.250000,12.980000,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,N41(100),,1,902,-73.570000,13.140000,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,N41(100),,1,902,-73.040000,13.670000,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,N41(100),,1,902,-73.090000,13.610000,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,N41(100),,1,902,-72.170000,18.210000,,,,,,,,,,,,,
,,,N41(100),,1,902,-71.880000,18.410000,,,,,,,,,,,,,
,,,N41(100),,1,902,-72.110000,17.340000,,,,,,,,,,,,,
,,,N41(100),,1,902,-71.490000,17.730000,,,,,,,,,,,,,
,,,N41(100),,1,902,-71.810000,17.610000,,,,,,,,,,,,,
,,,N41(100),,1,902,-72.210000,17.740000,,,,,,,,,,,,,
,,,N41(100),,1,902,-72.900000,18.570000,,,,,,,,,,,,,
,,,N41(100),,1,902,-72.720000,18.620000,,,,,,,,,,,,,
,,,N41(100),,1,902,-71.850000,19.000000,,,,,,,,,,,,,
,,,N41(100),,1,902,-71.200000,19.080000,,,,,,,,,,,,,
,,,N41(100),,1,902,-71.750000,18.720000,,,,,,,,,,,,,
,,,N41(100),,1,902,-72.170000,18.150000,,,,,,,,,,,,,
,,,N41(100),,1,902,-71.850000,18.400000,,,,,,,,,,,,,
,,,N41(100),,1,902,-72.400000,17.230000,,,,,,,,,,,,,
,,,N41(100),,1,902,-72.500000,18.770000,,,,,,,,,,,,,
,,,N41(100),,1,902,-72.000000,18.000000,,,,,,,,,,,,,
,,,N41(100),,1,902,-72.100000,12.530000,,,,,,,,,,,,,
,,,N41(100),,1,902,-72.000000,17.890000,,,,,,,,,,,,,
,,,N41(100),,1,902,-69.580000,17.180000,,,,,,,,,,,,,
,,,N41(100),,1,902,-69.090000,16.020000,,,,,,,,,,,,,
,,,N41(100),,1,902,-68.580000,16.970000,,,,,,,,,,,,,
,,,N41(100),,1,902,-68.920000,17.070000,,,,,,,,,,,,,
,,,N41(100),,1,902,-69.480000,17.210000,,,,,,,,,,,,,
,,,N41(100),,1,902,-69.060000,18.340000,,,,,,,,,,,,,
,,,N41(100),,1,902,-68.480000,17.670000,,,,,,,,,,,,,
,,,N41(100),,1,902,-68.120000,17.570000,,,,,,,,,,,,,
,,,N41(100),,1,902,-67.980000,17.670000,,,,,,,,,,,,,
,,,N41(100),,1,902,-68.260000,18.010000,,,,,,,,,,,,,
,,,N41(100),,1,902,-68.210000,18.000000,,,,,,,,,,,,,
,,,N41(100),,1,902,-68.260000,18.870000,,,,,,,,,,,,,
,,,N41(100),,1,902,-67.810000,19.130000,,,,,,,,,,,,,
,,,N41(100),,1,902,-67.870000,19.560000,,,,,,,,,,,,,
,,,N41(100),,1,902,-72.110000,16.170000,,,,,,,,,,,,,
,,,N41(100),,1,902,-72.450000,17.480000,,,,,,,,,,,,,
,,,N41(100),,1,902,-70.340000,19.830000,,,,,,,,,,,,,
,,,N41(100),,1,902,-68.140000,20.040000,,,,,,,,,,,,,
,,,N41(100),,1,902,-67.820000,20.730000,,,,,,,,,,,,,
,,,N41(100),,1,902,-68.430000,19.250000,,,,,,,,,,,,,
,,,N41(100),,1,902,-69.270000,18.640000,,,,,,,,,,,,,
,,,N41(100),,1,902,-69.990000,17.020000,,,,,,,,,,,,,
,,,N41(100),,1,902,-70.070000,16.490000,,,,,,,,,,,,,
,,,N41(100),,1,902,-69.610000,16.120000,,,,,,,,,,,,,
,,,N41(100),,1,902,-71.590000,17.520000,,,,,,,,,,,,,
,,,N41(100),,1,902,-72.230000,17.440000,,,,,,,,,,,,,
,,,N41(100),,1,902,-72.130000,16.810000,,,,,,,,,,,,,
,,,N41(100),,1,902,-71.710000,18.240000,,,,,,,,,,,,,
,,,N41(100),,1,902,-70.650000,18.840000,,,,,,,,,,,,,
,,,N41(100),,1,902,-71.190000,18.620000,,,,,,,,,,,,,
,,,N41(100),,1,902,-69.960000,18.330000,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,N41(100),,1,902,-70.160000,16.690000,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,N41(100),,1,902,-69.690000,19.370000,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Download Start Request,,,,,
,,,,,,,,,,,,,,,,Download File Size Retrieved,,,,,
,,,,,,,,,,,,,,,,Download Started,,,,,
,,,N41(100),NR SA,1,902,-68.910000,19.450000,,,,,,,,,,,,,
,,,N41(100)+N41(40),NR SA,1,902,-67.630000,20.860000,,,,,,,,,,,,,
,,,N41(100)+N41(40),NR SA,1,902,-68.950000,20.010000,,,,,,,,,4.980,,,,
,,,N41(100)+N41(40),NR SA,1,902,-69.530000,19.620000,,,,,,,,,8.935,,,,
,,,N41(100)+N41(40),NR SA,1,902,-69.350000,20.060000,,,,,,,,,16.554,,,,
,,,N41(100)+N41(40),NR SA,1,902,-69.370000,20.010000,,,,,,,,,28.430,,,,
,,,N41(100)+N41(40),NR SA,1,902,-69.380000,19.990000,,,,,,,,,45.503,,,,
,,,N41(100)+N41(40),NR SA,1,902,-69.540000,20.170000,,,,,,,,,44.314,,,,
,,,N41(100)+N41(40),NR SA,1,902,-69.570000,20.740000,,,,,,,,,49.552,,,,
,,,N41(100)+N41(40),NR SA,1,902,-69.320000,20.150000,,,,,,,,,52.901,,,,
,,,N41(100)+N41(40),NR SA,1,902,-69.520000,20.220000,,,,,,,,,56.688,,,,
,,,N41(100)+N41(40),NR SA,1,902,-69.660000,20.300000,,,,,,,,,57.299,,,,
,,,N41(100)+N41(40),NR SA,1,902,-69.590000,20.210000,,,,,,,,,53.272,,,,
