[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[LTE] [L1] [RF] RS SINR,[General] Band Classification,[General] Serving Network (In Traffic),[NR5G] [System] Num of CC (Data),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [iPerf] [Throughput] DL Jitter,[Call Test] [iPerf] [Throughput] DL Error Ratio,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Jitter,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Error Ratio,[Event] [Data call test detail events] FTP Call Event,[Event] [Data call test detail events] HTTP Call Event,[Event] [Data call test detail events] Ping Call Event,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [Throughput] Application DL TP,[Call Test] [Throughput] Application UL TP,[Event] [Data call test detail events] IPERF Call Event,[LTE] [Data Throughput] [Downlink (All)] [PDSCH] PDSCH TP (Total),[LTE] [Data Throughput] [Uplink (All)] [PUSCH] PUSCH TP (Total)
,,,N25(20)+N71(20)+N41(100),NR SA,3,872,-103.160000,-1.460000,,,,,,,,,14.349,,,,
,,,N25(20)+N71(20)+N41(100),NR SA,3,872,-105.930000,-1.090000,,,,,,,,,16.161,,,,
,,,N25(20)+N71(20)+N41(100),NR SA,3,872,-108.510000,-2.990000,,,,,,,,,13.596,,,,
,,,N25(20)+N71(20)+N41(100),NR SA,3,872,-109.980000,-3.420000,,,,,,,,,8.817,,,,
,,,N25(20)+N71(20)+N41(100),NR SA,3,872,-108.200000,-2.130000,,,,,,,,,12.331,,,,
,,,N25(20)+N71(20)+N41(100),NR SA,3,872,-107.730000,-1.510000,,,,,,,,,12.514,,,,
,,,N25(20)+N71(20)+N41(100),NR SA,3,872,-108.390000,-1.360000,,,,,,,,,17.236,,,,
,,,N25(20)+N71(20)+N41(100),NR SA,3,872,-110.100000,-5.340000,,,,,,,,,11.969,,,,
,,,N25(20)+N71(20)+N41(100),NR SA,3,872,-111.850000,-5.230000,,,,,,,,,14.003,,,,
,,,N25(20)+N71(20)+N41(100),NR SA,3,872,-109.590000,-5.610000,,,,,,,,,20.231,,,,
,,,N25(20)+N71(20)+N41(100),NR SA,3,872,-110.210000,-6.470000,,,,,,,,,29.182,,,,
,,,N25(20)+N71(20)+N41(100),NR SA,3,872,-110.670000,-3.180000,,,,,,,,,40.101,,,,
,,,N25(20)+N71(20)+N41(100),NR SA,3,872,-109.320000,-0.350000,,,,,,,,,47.263,,,,
,,,N25(20)+N71(20)+N41(100),NR SA,3,872,-111.190000,-2.550000,,,,,,,,,22.522,,,,
,,,N25(20)+N71(20)+N41(100),NR SA,3,872,-110.750000,-2.980000,,,,,,,,,8.031,,,,
,,,N25(20)+N71(20)+N41(100),NR SA,3,872,-111.300000,-2.970000,,,,,,,,,0.000,,,,
,,,N25(20)+N71(20)+N41(100),NR SA,3,872,-110.030000,-2.720000,,,,,,,,,14.888,,,,
,,,N25(20)+N71(20)+N41(100),NR SA,3,872,-108.570000,-3.380000,,,,,,,,,5.270,,,,
,,,N25(20)+N71(20)+N41(100),NR SA,3,872,-109.610000,-3.130000,,,,,,,,,5.854,,,,
,,,N25(20)+N71(20)+N41(100),NR SA,3,872,-108.940000,-1.510000,,,,,,,,,7.111,,,,
,,,N25(20)+N71(20)+N41(100),NR SA,3,872,-107.950000,-1.450000,,,,,,,,,1.986,,,,
,,,N25(20)+N71(20)+N41(100),NR SA,2,872,-106.800000,0.050000,,,,,,,,,11.261,,,,
,,,N25(20)+N71(20),NR SA,2,872,-107.640000,-0.400000,,,,,,,,,9.319,,,,
,,,N25(20)+N71(20),NR SA,2,872,-107.950000,-0.980000,,,,,,,,,11.130,,,,
,,,,,,,,,,,,,,,,Download End Request,,,,,
,,,,,,,,,,,,,,,,Download Ended,,,,,
,,,N25(20)+N71(20),NR SA,2,872,-109.690000,-0.480000,,,,,,,,,,,,,
,,,N25(20)+N71(20),,2,872,-109.560000,0.180000,,,,,,,,,,,,,
,,,N25(20)+N71(20),,2,872,-110.350000,-0.840000,,,,,,,,,,,,,
,,,N25(20)+N71(20),,2,872,-110.360000,-2.490000,,,,,,,,,,,,,
,,,N25(20)+N71(20),,2,872,-109.230000,-2.770000,,,,,,,,,,,,,
,,,N25(20)+N71(20),,2,872,-108.180000,-3.580000,,,,,,,,,,,,,
,,,N25(20)+N71(20),,2,872,-109.030000,-3.330000,,,,,,,,,,,,,
,,,,,2,872,-108.950000,-2.640000,,,,,,,,,,,,,
,,,N25(20),,1,872,-107.340000,-0.570000,,,,,,,,,,,,,
,,,N25(20),,1,872,-107.270000,-1.730000,,,,,,,,,,,,,
,,,N25(20),,1,872,-105.270000,-1.030000,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,N25(20),,1,872,-105.840000,-2.690000,,,,,,,,,,,,,
,,,N25(20),,1,872,-103.920000,-1.780000,,,,,,,,,,,,,
,,,N25(20),,1,872,-103.460000,-1.350000,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,N25(20),,1,872,-105.980000,-2.560000,,,,,,,,,,,,,
,,,N25(20),,1,872,-108.700000,-4.200000,,,,,,,,,,,,,
,,,N25(20),,1,872,-106.770000,-0.630000,,,,,,,,,,,,,
,,,N25(20),,1,872,-106.580000,-1.480000,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,N25(20),,1,872,-107.160000,-2.860000,,,,,,,,,,,,,
,,,N25(20),,1,872,-106.620000,-4.250000,,,,,,,,,,,,,
,,,N25(20),,1,872,-106.390000,-2.780000,,,,,,,,,,,,,
,,,N25(20),,1,872,-105.330000,-2.840000,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,N25(20),,1,872,-105.200000,-1.400000,,,,,,,,,,,,,
,,,N25(20),,1,872,-104.550000,-2.650000,,,,,,,,,,,,,
,,,N25(20),,1,872,-105.040000,-3.820000,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,N25(20),,1,872,-106.860000,-4.350000,,,,,,,,,,,,,
,,,N25(20),,1,872,-104.100000,-2.800000,,,,,,,,,,,,,
,,,N25(20),,1,872,-104.470000,-3.990000,,,,,,,,,,,,,
,,,N25(20),,1,872,-105.510000,-4.130000,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,N25(20),,1,872,-106.430000,-3.070000,,,,,,,,,,,,,
,,,N25(20),,1,872,-102.750000,0.920000,,,,,,,,,,,,,
,,,N25(20),,1,872,-103.590000,1.980000,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,N25(20),,1,872,-103.900000,1.560000,,,,,,,,,,,,,
,,,N25(20),,1,872,-103.090000,3.060000,,,,,,,,,,,,,
