[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[LTE] [L1] [RF] RS SINR,[General] Band Classification,[General] Serving Network (In Traffic),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [iPerf] [Throughput] DL Jitter,[Call Test] [iPerf] [Throughput] DL Error Ratio,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Jitter,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Error Ratio,[Event] [Data call test detail events] FTP Call Event,[Event] [Data call test detail events] HTTP Call Event,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [Throughput] Application DL TP,[Call Test] [Throughput] Application UL TP,[Event] [Data call test detail events] IPERF Call Event,[Call Test] [iPerf] [Call Average] [Throughput] [Excluding SlowStart] UL Avg TP,[Call Test] [iPerf] [Throughput] DL TP (excl. slow start),[Event] [Data call test detail events] Ping Call Event,[Call Test] [HTTP] Total duration,[Call Test] [PING] Loss Count,[Call Test] [PING] [RTT] RTT
,,,N25(20)+N25(20)+N41(100)+N41(90),NR SA,872,-90.530000,2.750000,,,,,,,,,45.089,,,,,,,
,,,N25(20)+N25(20)+N41(100)+N41(90),NR SA,872,-91.000000,2.190000,,,,,,,,,23.069,,,,,,,
,,,N25(20)+N25(20)+N41(100)+N41(90),NR SA,872,-90.860000,2.340000,,,,,,,,,0.000,,,,,,,
,,,N25(20)+N25(20)+N41(100)+N41(90),NR SA,872,-91.310000,2.320000,,,,,,,,,22.020,,,,,,,
,,,,,,,,,,,,,,Upload End Request,,,,,,,,,
,,,,,,,,,,,,,,Upload Ended,,,,,,,,,
,,,N25(20)+N25(20)+N41(100)+N41(90),NR SA,872,-90.940000,2.880000,,,,,,,,,,,,,,,,
,,,N25(20)+N25(20)+N41(100)+N41(90),,872,-91.000000,2.890000,,,,,,,,,,,,,,,,
,,,N25(20)+N25(20)+N41(100)+N41(90),,872,-91.470000,2.340000,,,,,,,,,,,,,,,,
,,,N25(20)+N25(20)+N41(100)+N41(90),,872,-91.100000,2.900000,,,,,,,,,,,,,,,,
,,,N25(20)+N25(20)+N41(100)+N41(90),,872,-91.700000,1.880000,,,,,,,,,,,,,,,,
,,,N25(20)+N25(20)+N41(100)+N41(90),,872,-91.530000,2.260000,,,,,,,,,,,,,,,,
,,,N25(20)+N25(20)+N41(100)+N41(90),,872,-91.080000,2.840000,,,,,,,,,,,,,,,,
,,,N25(20)+N25(20)+N41(100)+N41(90),,872,-90.760000,2.950000,,,,,,,,,,,,,,,,
,,,N25(20)+N25(20)+N41(100)+N41(90),,872,-91.280000,2.380000,,,,,,,,,,,,,,,,
,,,N25(20)+N25(20)+N41(100)+N41(90),,872,-90.960000,2.400000,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Upload Start Request,,,,,,,,,
,,,N25(20)+N25(20)+N41(100)+N41(90),NR SA,872,-91.360000,2.110000,,,,,,,,,,,,,,,,
,,,N25(20)+N25(20)+N41(100)+N41(90),NR SA,872,-91.190000,2.580000,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Upload Started,,,,,,,,,
,,,N25(20)+N25(20)+N41(100)+N41(90),NR SA,872,-90.750000,2.640000,,,,,,,,,,,,,,,,
,,,N25(20)+N25(20)+N41(100)+N41(90),NR SA,872,-91.020000,2.640000,,,,,,,,,,,,,,,,
,,,N25(20)+N25(20)+N41(100)+N41(90),NR SA,872,-91.050000,2.250000,,,,,,,,,78.643,,,,,,,
,,,N25(20)+N25(20)+N41(100)+N41(90),NR SA,872,-91.370000,1.900000,,,,,,,,,47.186,,,,,,,
,,,N25(20)+N25(20)+N41(100)+N41(90),NR SA,872,-91.540000,2.210000,,,,,,,,,58.720,,,,,,,
,,,N25(20)+N25(20)+N41(100)+N41(90),NR SA,872,-90.370000,2.200000,,,,,,,,,25.166,,,,,,,
,,,N25(20)+N25(20)+N41(100)+N41(90),NR SA,872,-89.840000,2.360000,,,,,,,,,20.972,,,,,,,
,,,N25(20)+N25(20)+N41(100)+N41(90),NR SA,872,-89.530000,2.490000,,,,,,,,,23.069,,,,,,,
,,,N25(20)+N25(20)+N41(100)+N41(90),NR SA,872,-89.430000,2.400000,,,,,,,,,22.020,,,,,,,
,,,N25(20)+N25(20)+N41(100)+N41(90),NR SA,872,-89.610000,2.170000,,,,,,,,,9.437,,,,,,,
,,,N25(20)+N25(20)+N41(100)+N41(90),NR SA,872,-90.110000,1.720000,,,,,,,,,0.000,,,,,,,
,,,N25(20)+N25(20)+N41(100)+N41(90),NR SA,872,-89.660000,2.000000,,,,,,,,,22.020,,,,,,,
,,,N25(20)+N25(20)+N41(100)+N41(90),NR SA,872,-89.670000,2.150000,,,,,,,,,22.020,,,,,,,
,,,N25(20)+N25(20)+N41(100)+N41(90),NR SA,872,-89.160000,2.790000,,,,,,,,,46.137,,,,,,,
,,,N25(20)+N25(20)+N41(100)+N41(90),NR SA,872,-89.450000,2.240000,,,,,,,,,22.020,,,,,,,
,,,N25(20)+N25(20)+N41(100)+N41(90),NR SA,872,-89.650000,2.910000,,,,,,,,,0.000,,,,,,,
,,,N25(20)+N25(20)+N41(100)+N41(90),NR SA,872,-90.930000,2.290000,,,,,,,,,31.426,,,,,,,
,,,N25(20)+N25(20)+N41(100)+N41(90),NR SA,872,-91.500000,1.890000,,,,,,,,,0.000,,,,,,,
,,,N25(20)+N25(20)+N41(100)+N41(90),NR SA,872,-92.370000,1.070000,,,,,,,,,0.000,,,,,,,
,,,N25(20)+N25(20)+N41(100)+N41(90),NR SA,872,-91.920000,1.330000,,,,,,,,,0.000,,,,,,,
,,,N25(20)+N25(20)+N41(100)+N41(90),NR SA,872,-91.860000,1.720000,,,,,,,,,0.000,,,,,,,
,,,N25(20)+N25(20)+N41(100)+N41(90),NR SA,872,-91.530000,2.080000,,,,,,,,,10.475,,,,,,,
,,,N25(20)+N25(20)+N41(100)+N41(90),NR SA,872,-92.190000,1.710000,,,,,,,,,33.588,,,,,,,
,,,N25(20)+N25(20)+N41(100)+N41(90),NR SA,872,-92.260000,1.290000,,,,,,,,,10.486,,,,,,,
