Device,MO DUT,MT DUT,MO REF,MT REF
480,-63.0,-61.0,-53.0,-57.0
481,-63.0,-61.0,-53.0,-57.0
482,-63.0,-61.0,-53.0,-57.0
483,-63.0,-61.0,-53.0,-57.0
484,-63.0,-61.0,-53.0,-57.0
485,-63.0,-61.0,-53.0,-57.0
486,-63.0,-61.0,-53.0,-55.0
487,-63.0,-61.0,-53.0,-55.0
488,-63.0,-61.0,-53.0,-55.0
489,-63.0,-61.0,-53.0,-55.0
490,-62.0,-61.0,-53.0,-55.0
491,-62.0,-61.0,-53.0,-55.0
492,-62.0,-61.0,-53.0,-56.0
493,-62.0,-61.0,-53.0,-56.0
494,-62.0,-61.0,-53.0,-58.0
495,-62.0,-61.0,-53.0,-58.0
496,-62.0,-61.0,-53.0,-58.0
497,-62.0,-61.0,-53.0,-58.0
498,-62.0,-61.0,-53.0,-56.0
499,-62.0,-61.0,-53.0,-56.0
500,-62.0,-61.0,-53.0,-56.0
501,-62.0,-61.0,-53.0,-56.0
502,-63.0,-61.0,-53.0,-56.0
503,-63.0,-61.0,-53.0,-56.0
504,-63.0,-61.0,-53.0,-56.0
505,-64.0,-61.0,-53.0,-56.0
506,-64.0,-61.0,-53.0,-56.0
507,-63.0,-61.0,-53.0,-56.0
508,-63.0,-61.0,-53.0,-56.0
509,-63.0,-61.0,-53.0,-56.0
510,-64.0,-61.0,-53.0,-57.0
511,-64.0,-61.0,-53.0,-57.0
512,-64.0,-61.0,-53.0,-57.5
513,-62.0,-61.0,-53.0,-58.0
514,-62.0,-61.0,-53.0,-58.0
515,-62.0,-61.0,-53.0,-57.0
516,-63.0,-61.0,-53.0,-57.0
517,-63.0,-61.0,-53.0,-57.0
518,-63.0,-61.0,-53.0,-55.0
519,-64.0,-61.0,-53.0,-55.0
520,-64.0,-61.0,-53.0,-54.5
521,-62.0,-61.0,-54.0,-54.0
522,-62.0,-61.0,-54.0,-54.0
523,-62.0,-61.0,-54.0,-55.0
524,-63.0,-61.0,-54.0,-55.0
525,-63.0,-61.0,-54.0,-55.0
526,-63.0,-61.0,-53.0,-55.0
527,-63.0,-61.0,-53.0,-55.0
528,-63.0,-61.0,-53.0,-55.0
529,-63.0,-61.0,-53.0,-57.0
530,-63.0,-61.0,-53.0,-57.0
531,-63.0,-61.0,-53.0,-57.0
532,-63.0,-61.0,-52.0,-56.0
533,-62.0,-63.0,-52.0,-56.0
534,-60.0,-63.0,-53.0,-56.0
535,-58.0,-63.0,-53.0,-56.0
536,-58.0,-64.0,,-56.0
537,-58.0,-64.0,,-55.0
538,-58.0,-64.0,,-55.0
539,-58.0,-64.0,,-55.0
540,-55.0,-64.0,,-55.0
541,-55.0,-64.0,,-55.0
542,-55.0,-64.0,,-57.0
543,-55.0,-64.0,,-57.0
544,-55.0,-64.0,,-56.0
