[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[LTE] [L1] [RF] RS SINR,[General] Band Classification,[General] Serving Network (In Traffic),[NR5G] [System] Num of CC (Data),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [iPerf] [Throughput] DL Jitter,[Call Test] [iPerf] [Throughput] DL Error Ratio,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Jitter,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Error Ratio,[Event] [Data call test detail events] FTP Call Event,[Event] [Data call test detail events] HTTP Call Event,[Event] [Data call test detail events] Ping Call Event,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [Throughput] Application DL TP,[Call Test] [Throughput] Application UL TP,[Event] [Data call test detail events] IPERF Call Event,[LTE] [Data Throughput] [Downlink (All)] [PDSCH] PDSCH TP (Total),[LTE] [Data Throughput] [Uplink (All)] [PUSCH] PUSCH TP (Total)
,,,N25(20),,1,872,-104.860000,1.780000,,,,,,,,,,,,,
,,,N25(20),,1,872,-106.430000,0.920000,,,,,,,,,,,,,
,,,N25(20),,1,872,-108.170000,0.290000,,,,,,,,,,,,,
,,,N25(20),,1,872,-108.020000,-1.070000,,,,,,,,,,,,,
,,,N25(20),,1,872,-107.420000,0.220000,,,,,,,,,,,,,
,,,N25(20),,1,872,-106.700000,1.340000,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Download Start Request,,,,,
,,,N25(20),NR SA,1,872,-107.810000,-0.060000,,,,,,,,,,,,,
,,,N25(20)+N71(20)+N41(100)+N41(90),NR SA,1,872,-107.200000,0.520000,,,,,,,,,,,,0.069000,0.004000
,,,,,,,,,,,,,,,,Download File Size Retrieved,,,,,
,,,,,,,,,,,,,,,,Download Started,,,,,
,,,N25(20)+N71(20)+N41(100)+N41(90),NR SA,1,872,-108.160000,-0.660000,,,,,,,,,,,,12.315000,0.012000
,,,N25(20)+N71(20)+N41(100)+N41(90),NR SA,4,872,-107.880000,-0.110000,,,,,,,,,,,,18.888000,
,,,N25(20)+N71(20)+N41(100)+N41(90),NR SA,4,872,-107.730000,0.300000,,,,,,,,,35.890,,,19.957000,
,,,N25(20)+N71(20)+N41(100)+N41(90),NR SA,4,872,-107.410000,-0.320000,,,,,,,,,22.808,,,41.969000,
,,,N25(20)+N71(20)+N41(100)+N41(90),NR SA,4,872,-108.470000,-1.650000,,,,,,,,,51.847,,,47.470000,
,,,N25(20)+N71(20)+N41(100)+N41(90),NR SA,4,872,-109.640000,-1.780000,,,,,,,,,28.783,,,22.649000,
,,,N25(20)+N71(20)+N41(100)+N41(90),NR SA,4,872,-109.570000,-1.440000,,,,,,,,,20.243,,,22.942000,
,,,N25(20)+N71(20)+N41(100)+N41(90),NR SA,4,872,-109.840000,-1.540000,,,,,,,,,40.969,,,56.558000,
,,,N25(20)+N71(20)+N41(100)+N41(90),NR SA,4,872,-108.060000,0.790000,,,,,,,,,50.811,,,47.483000,
,,,N25(20)+N71(20)+N41(100)+N41(90),NR SA,4,872,-107.240000,1.630000,,,,,,,,,46.058,,,72.642000,
,,,N25(20)+N71(20)+N41(100)+N41(90),NR SA,4,872,-106.800000,1.920000,,,,,,,,,69.793,,,65.457000,
,,,N25(20)+N71(20)+N41(90)+N41(x),NR SA,3,872,-107.230000,1.070000,,,,,,,,,57.295,,,40.930000,
,,,N25(20)+N71(20)+N41(90)+N41(x),NR SA,3,872,-108.360000,0.060000,,,,,,,,,23.580,,,20.623000,0.021000
,,,N25(20)+N71(20)+N41(90)+N41(x),NR SA,3,872,-107.860000,0.230000,,,,,,,,,4.211,,,12.513000,
,,,N25(20)+N71(20)+N41(90)+N41(x),NR SA,3,872,-106.490000,1.530000,,,,,,,,,0.694,,,10.700000,0.041000
,,,N25(20)+N71(20)+N41(90)+N41(x),NR SA,3,872,-105.390000,2.860000,,,,,,,,,27.239,,,4.607000,0.010000
,,,N25(20)+N71(20)+N41(90)+N41(x),NR SA,3,872,-106.820000,1.390000,,,,,,,,,6.028,,,6.316000,0.017000
,,,N25(20)+N71(20)+N41(90)+N41(x),NR SA,3,872,-107.840000,-0.040000,,,,,,,,,7.140,,,6.927000,0.001000
,,,N25(20)+N71(20)+N41(90)+N41(x),NR SA,3,872,-108.700000,-0.440000,,,,,,,,,4.147,,,6.903000,0.001000
,,,N25(20)+N71(20)+N41(90)+N41(x),NR SA,3,872,-106.760000,2.030000,,,,,,,,,9.854,,,8.685000,0.001000
,,,N25(20)+N71(20)+N41(90)+N41(x),NR SA,3,872,-107.530000,0.400000,,,,,,,,,7.685,,,8.188000,
,,,N25(20)+N71(20)+N41(90)+N41(x),NR SA,3,872,-108.550000,-0.510000,,,,,,,,,8.294,,,7.490000,
,,,N25(20)+N71(20)+N41(90)+N41(x),NR SA,3,872,-106.810000,0.740000,,,,,,,,,10.432,,,13.807000,0.001000
,,,N25(20)+N71(20)+N41(90)+N41(x),NR SA,3,872,-107.160000,0.510000,,,,,,,,,7.264,,,12.156000,0.006000
,,,N25(20)+N71(20)+N41(90)+N41(x),NR SA,3,872,-108.990000,-0.390000,,,,,,,,,13.379,,,6.713000,
,,,N25(20)+N71(20)+N41(90)+N41(x),NR SA,3,872,-108.410000,0.080000,,,,,,,,,3.377,,,7.501000,
,,,N25(20)+N71(20)+N41(90)+N41(x),NR SA,3,872,-106.700000,1.410000,,,,,,,,,17.524,,,41.090000,
,,,N25(20)+N71(20)+N41(90)+N41(x),NR SA,3,872,-107.020000,0.620000,,,,,,,,,41.031,,,41.607000,
,,,N25(20)+N71(20)+N41(90)+N41(x),NR SA,3,872,-106.900000,1.580000,,,,,,,,,37.023,,,43.159000,
,,,N25(20)+N71(20)+N41(90)+N41(x),NR SA,3,872,-105.070000,3.300000,,,,,,,,,35.780,,,30.200000,
,,,N25(20)+N71(20)+N41(90)+N41(x),NR SA,3,872,-105.170000,2.880000,,,,,,,,,19.867,,,17.200000,
,,,,,,,,,,,,,,,,Download End Request,,,,,
,,,,,,,,,,,,,,,,Download Ended,,,,,
,,,N25(20)+N71(20)+N41(90)+N41(x),NR SA,3,872,-104.420000,3.770000,,,,,,,,,16.673,,,9.281000,
,,,N25(20)+N71(20)+N41(90)+N41(x),,3,872,-105.140000,3.450000,,,,,,,,,,,,16.388000,0.141000
,,,N25(20)+N71(20)+N41(90)+N41(x),,3,872,-104.970000,3.710000,,,,,,,,,,,,,
,,,N25(20)+N71(20)+N41(90)+N41(x),,3,872,-105.480000,1.840000,,,,,,,,,,,,1.070000,0.020000
,,,N25(20)+N71(20)+N41(90)+N41(x),,3,872,-105.720000,0.940000,,,,,,,,,,,,,
,,,N25(20)+N71(20)+N41(90)+N41(x),,2,872,-105.340000,0.670000,,,,,,,,,,,,,
,,,N25(20)+N71(20)+N41(90)+N41(x),,2,872,-105.000000,1.390000,,,,,,,,,,,,,
,,,N25(20)+N71(20)+N41(90)+N41(x),,2,872,-104.870000,-0.670000,,,,,,,,,,,,,
,,,N25(10)+N71(x)+N41(x),,2,670,-106.270000,-0.820000,,,,,,,,,,,,,
,,,N25(10),,1,670,-105.260000,-2.800000,,,,,,,,,,,,,
,,,N25(10),,0,670,-105.420000,-4.130000,,,,,,,,,,,,,
,,,N25(10),,1,670,-105.100000,-4.280000,,,,,,,,,,,,,
,,,N25(10),,0,670,-108.180000,-6.090000,,,,,,,,,,,,,
,,,N25(10),,1,670,-110.360000,-6.290000,,,,,,,,,,,,,
,,,N25(10),,0,670,-109.000000,-5.570000,,,,,,,,,,,,,
,,,N25(10),,1,670,-109.520000,-5.820000,,,,,,,,,,,,,
,,,N25(10),,1,670,-109.280000,-4.240000,,,,,,,,,,,,,
,,,N25(10),,0,670,-108.710000,-4.200000,,,,,,,,,,,,,
,,,N25(20),,1,670,-107.840000,-3.970000,,,,,,,,,,,,0.034000,0.002000
,,,N25(20),,1,670,-108.570000,-4.400000,,,,,,,,,,,,,
,,,N25(20),,1,670,-108.430000,-3.890000,,,,,,,,,,,,,
,,,N25(20),,1,670,-107.600000,-4.090000,,,,,,,,,,,,,
,,,N25(20),,1,670,-111.310000,-6.810000,,,,,,,,,,,,,
,,,N25(20),,1,670,-111.450000,-5.920000,,,,,,,,,,,,,
,,,N25(20),,1,670,-113.600000,-7.410000,,,,,,,,,,,,,
,,,N25(20),,1,872,-112.310000,-6.210000,,,,,,,,,,,,,
,,,N25(20),,1,872,-107.690000,-1.050000,,,,,,,,,,,,,
,,,N25(20),,1,872,-107.750000,-2.600000,,,,,,,,,,,,,
,,,N25(20),,1,872,-107.870000,-1.200000,,,,,,,,,,,,,
,,,N25(20),,1,872,-108.400000,-1.170000,,,,,,,,,,,,,
,,,N25(20),,1,872,-108.170000,-1.130000,,,,,,,,,,,,,
,,,N25(20),,1,872,-108.150000,-1.080000,,,,,,,,,,,,,
,,,N25(20),,1,872,-109.010000,-2.140000,,,,,,,,,,,,,
,,,N25(20),,1,872,-106.750000,0.280000,,,,,,,,,,,,,
,,,N25(20),,1,872,-104.300000,1.880000,,,,,,,,,,,,,
,,,N25(20),,1,872,-103.180000,1.480000,,,,,,,,,,,,,
,,,N25(20),,1,872,-102.310000,2.360000,,,,,,,,,,,,,
,,,N25(20),,1,872,-102.510000,1.160000,,,,,,,,,,,,,
,,,N25(20),,1,872,-102.660000,0.470000,,,,,,,,,,,,,
,,,N25(20),,1,872,-105.570000,-2.240000,,,,,,,,,,,,,
,,,N25(20),,1,872,-106.100000,-1.040000,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Download Start Request,,,,,
,,,N25(20),NR SA,1,872,-105.630000,-1.350000,,,,,,,,,,,,,
,,,N25(20)+N71(20)+N41(100)+N41(90),NR SA,1,872,-105.960000,0.120000,,,,,,,,,,,,10.450000,0.012000
,,,,,,,,,,,,,,,,Download File Size Retrieved,,,,,
,,,,,,,,,,,,,,,,Download Started,,,,,
,,,N25(20)+N71(20)+N41(100)+N41(90),NR SA,4,872,-110.100000,-3.470000,,,,,,,,,,,,28.779000,0.003000
,,,N25(20)+N71(20)+N41(100)+N41(90),NR SA,4,872,-113.140000,-5.020000,,,,,,,,,,,,45.493000,
,,,N25(20)+N71(20)+N41(100)+N41(90),NR SA,4,872,-109.960000,-1.890000,,,,,,,,,60.184,,,53.003000,
,,,N25(20)+N71(20)+N41(100)+N41(90),NR SA,4,872,-110.360000,-3.030000,,,,,,,,,42.902,,,65.235000,
,,,N25(20)+N71(20)+N41(100)+N41(90),NR SA,4,872,-110.760000,-3.080000,,,,,,,,,61.381,,,48.121000,
,,,N25(20)+N71(20)+N41(100)+N41(90),NR SA,4,872,-112.330000,-5.030000,,,,,,,,,38.438,,,54.178000,
,,,N25(20)+N71(20)+N41(100)+N41(90),NR SA,4,872,-110.290000,-2.430000,,,,,,,,,68.852,,,40.157000,
,,,N25(20)+N71(20)+N41(100)+N41(90),NR SA,4,872,-109.040000,-1.510000,,,,,,,,,34.768,,,52.063000,
,,,N25(20)+N71(20)+N41(100)+N41(90),NR SA,4,872,-111.070000,-3.030000,,,,,,,,,44.056,,,36.427000,
,,,N25(20)+N71(20)+N41(100)+N41(90),NR SA,4,872,-112.610000,-3.430000,,,,,,,,,49.289,,,37.000000,
,,,N25(20)+N71(20)+N41(100)+N41(90),NR SA,4,872,-109.730000,-1.740000,,,,,,,,,20.275,,,15.228000,
,,,N25(20)+N71(20)+N41(100)+N41(90),NR SA,4,872,-109.650000,-2.110000,,,,,,,,,30.398,,,12.712000,
,,,N25(20)+N71(20)+N41(100)+N41(90),NR SA,4,872,-109.710000,-1.650000,,,,,,,,,3.071,,,63.521000,
,,,N25(20)+N71(20)+N41(100)+N41(90),NR SA,4,872,-111.940000,-2.620000,,,,,,,,,48.438,,,46.727000,
,,,N25(20)+N71(20)+N41(100)+N41(90),NR SA,4,872,-111.430000,-2.200000,,,,,,,,,66.159,,,8.515000,
,,,N25(20)+N71(20)+N41(100)+N41(90),NR SA,4,872,-112.500000,-3.660000,,,,,,,,,8.978,,,9.326000,
,,,N25(20)+N71(20)+N41(100)+N41(90),NR SA,4,872,-109.380000,-0.140000,,,,,,,,,11.297,,,10.111000,
,,,N25(20)+N71(20)+N41(100)+N41(90),NR SA,4,872,-109.800000,-2.650000,,,,,,,,,11.307,,,6.747000,
,,,N25(20)+N71(20)+N41(100)+N41(90),NR SA,4,872,-110.130000,-3.440000,,,,,,,,,5.938,,,5.563000,0.032000
,,,N25(20)+N71(20)+N41(100)+N41(90),NR SA,4,872,-108.270000,-0.560000,,,,,,,,,5.868,,,12.096000,
,,,N25(20)+N71(20)+N41(100)+N41(x),NR SA,3,872,-109.670000,-2.660000,,,,,,,,,9.384,,,3.467000,
,,,N25(20)+N71(20)+N41(100),NR SA,3,872,-110.060000,-2.300000,,,,,,,,,7.357,,,13.031000,0.020000
,,,N25(20)+N71(20)+N41(100),NR SA,3,872,-109.940000,-1.080000,,,,,,,,,8.099,,,16.748000,0.012000
,,,N25(20)+N71(20)+N41(100),NR SA,3,872,-111.020000,-2.570000,,,,,,,,,8.456,,,12.266000,
,,,N25(20)+N71(20)+N41(100),NR SA,3,872,-110.400000,-2.780000,,,,,,,,,18.362,,,10.911000,
,,,N25(20)+N71(20)+N41(100),NR SA,3,872,-108.990000,-0.390000,,,,,,,,,11.972,,,19.812000,
,,,N25(20)+N71(20)+N41(100),NR SA,3,872,-105.760000,1.420000,,,,,,,,,18.469,,,9.527000,
,,,N25(20)+N71(20)+N41(100),NR SA,3,872,-106.200000,0.660000,,,,,,,,,8.037,,,23.640000,
,,,N25(20)+N71(20)+N41(100),NR SA,3,872,-108.460000,-0.850000,,,,,,,,,5.045,,,27.176000,
,,,N25(20)+N71(20)+N41(100),NR SA,3,872,-108.570000,-1.350000,,,,,,,,,29.991,,,43.064000,
